Autor_in	GND-Nummer	Bevorzugter Name	Geburtsdatum	Sterbedatum	Geschlecht	Lebensdaten
Harsdörffer, Georg Philipp	118546139	Harsdörffer, Georg Philipp	1607-11-01	1658-09-17	Männlich	(1607–1658)
Meysenbug, Malwida von	118582054	Meysenbug, Malwida von	1816-10-28	1903-04-26	Weiblich	(1816–1903)
Lyncker, Karl	139259066	Lyncker, Karl	1823-02-24	1855-05-20	Männlich	(1823–1855)
Hamann, Johann Georg	11854523X	Hamann, Johann Georg	1730-08-27	1788-06-21	Männlich	(1730–1788)
Günther, Johann Christian	11854327X	Günther, Johann Christian	1695-04-08	1723-03-15	Männlich	(1695–1723)
Heine, Heinrich	118548018	Heine, Heinrich	1797-12-13	1856-02-17	Männlich	(1797–1856)
Löns, Hermann	118573853	Löns, Hermann	1866-09-29	1914-09-26	Männlich	(1866–1914)
Hayneccius, Martin	121178609	Hayneccius, Martin	1544	1611	Männlich	(1545–1611)
Goeckingk, Leopold Friedrich Günther von	118540084	Goeckingk, Leopold Friedrich Günther von	1748-07-13	1828-02-18	Männlich	(1748–1828)
Birch-Pfeiffer, Charlotte	118658875	Birch-Pfeiffer, Charlotte	1800-06-23	1868-08-25	Weiblich	(1800–1868)
May, Karl	118818651	May, Karl	1842-02-25	1912-03-30	Männlich	(1842–1912)
Boccaccio, Giovanni	11851217X	Boccaccio, Giovanni	1313-06-16	1375-12-21	Männlich	(1313–1375)
Altenberg, Peter	118502255	Altenberg, Peter	1859-03-09	1919-01-08	Männlich	(1859–1919)
Coleridge, Samuel Taylor	118521500	Coleridge, Samuel Taylor	1772-10-21	1834-07-25	Männlich	(1772–1834)
Keats, John	118560883	Keats, John	1795	1821	Männlich	(1795–1821)
Schmidt, Johann Georg	104278218	Schmidt, Johann Georg	1660-04	1722-03-10	Unbekannt	(1660–1722)
Frapan, Ilse	1063133041	Frapan, Ilse	1849-02-03	1908-12-02	Weiblich	(1849–1908)
Besser, Johann von	11851024X	Besser, Johann von	1654-05-08	1729-02-10	Männlich	(1654–1729)
Aristophanes	118503987	Aristophanes	-0445	-0385	Männlich	(um 445 – um 385 v. Chr.)
Waiblinger, Wilhelm	11862850X	Waiblinger, Wilhelm	1804-11-21	1830-01-17	Männlich	(1804–1830)
Scheerbart, Paul	118606816	Scheerbart, Paul	1863-01-08	1915-10-15	Männlich	(1863–1915)
Christ, Lena	118520555	Christ, Lena	1881-10-30	1920-06-30	Weiblich	(1881–1920)
Stifter, Adalbert	118618156	Stifter, Adalbert	1805-10-23	1868-01-28	Männlich	(1805–1868)
Hilscher, Paul Christian	120295997	Hilscher, Paul Christian	1666-03-11	1730-08-03	Männlich	(1666–1730)
Gemmingen, Otto H. von	118716778	Gemmingen, Otto H. von	1755-11-05	1836-03-03	Männlich	(1755–1836)
Meinhold, Wilhelm	118732692	Meinhold, Wilhelm	1797-02-27	1851-11-30	Männlich	(1797–1851)
La Fontaine, Jean de	11856868X	La Fontaine, Jean de	1621-07-08	1695-04-13	Männlich	(1621–1695)
Timlich, Karl	124517323	Timlich, Karl	1744	1825-02-01	Männlich	(1748–1825)
Tasso, Torquato	118620916	Tasso, Torquato	1544-03-11	1595-04-25	Männlich	(1544–1595)
Müller-Jahnke, Clara	117598127	Müller-Jahnke, Clara	1861-02-05	1905-11-04	Weiblich	(1860–1905)
Wienbarg, Ludolf	118807226	Wienbarg, Ludolf	1802-12-25	1872-01-02	Männlich	(1802–1872)
Kadelburg, Gustav	116015675	Kadelburg, Gustav	1851-07-26	1925-09-11	Männlich	(1851–1925)
Karsch, Anna Luise	118560328	Karsch, Anna Luise	1722-12-01	1791-10-12	Weiblich	(1722–1791)
Borkenstein, Hinrich	100428428	Borkenstein, Hinrich	1705-10-21	1777-11-29	Männlich	(1705–1777)
Wedekind, Frank	118629867	Wedekind, Frank	1864-07-24	1918-03-09	Männlich	(1864–1918)
Raimund, Ferdinand	118597914	Raimund, Ferdinand	1790-06-01	1836-09-05	Männlich	(1790–1836)
Jacobi, Johann Georg	118775782	Jacobi, Johann Georg	1740-09-02	1814-01-04	Männlich	(1740–1814)
Turgenev, Ivan Sergeevič	118643010	Turgenev, Ivan Sergeevič	1818-11-09	1883-09-03	Männlich	(1818–1883)
Iffland, August Wilhelm	118555324	Iffland, August Wilhelm	1759-04-19	1814-09-22	Männlich	(1759–1814)
Behrens, Georg Henning	129356883	Behrens, Georg Henning	1662-06-05	1712-01-07	Männlich	(1662–1712)
Laufs, Carl	106290916	Laufs, Carl	1858-12-20	1900-08-13	Männlich	(1858–1901)
Heym, Georg	118550683	Heym, Georg	1887-10-30	1912-01-16	Männlich	(1887–1912)
Freytag, Gustav	118535455	Freytag, Gustav	1816-07-13	1895-04-30	Männlich	(1816–1895)
Milton, John	118582607	Milton, John	1608-12-09	1674-11-10	Männlich	(1608–1674)
Wette, Adelheid	119514125	Wette, Adelheid	1858-09-04	1916-08-09	Weiblich	(1858–1916)
Puškin, Aleksandr Sergeevič	118641816	Puškin, Aleksandr Sergeevič	1799-06-06	1837-02-10	Männlich	(1799–1837)
Ramler, Karl Wilhelm	119059614	Ramler, Karl Wilhelm	1725-02-25	1798-04-11	Männlich	(1725–1798)
Harsdörffer, Georg Philipp	118546139	Harsdörffer, Georg Philipp	1607-11-01	1658-09-17	Männlich	(1607–1658)
Meysenbug, Malwida von	118582054	Meysenbug, Malwida von	1816-10-28	1903-04-26	Weiblich	(1816–1903)
Lyncker, Karl	139259066	Lyncker, Karl	1823-02-24	1855-05-20	Männlich	(1823–1855)
Hamann, Johann Georg	11854523X	Hamann, Johann Georg	1730-08-27	1788-06-21	Männlich	(1730–1788)
Günther, Johann Christian	11854327X	Günther, Johann Christian	1695-04-08	1723-03-15	Männlich	(1695–1723)
Heine, Heinrich	118548018	Heine, Heinrich	1797-12-13	1856-02-17	Männlich	(1797–1856)
Löns, Hermann	118573853	Löns, Hermann	1866-09-29	1914-09-26	Männlich	(1866–1914)
Hayneccius, Martin	121178609	Hayneccius, Martin	1544	1611	Männlich	(1545–1611)
Goeckingk, Leopold Friedrich Günther von	118540084	Goeckingk, Leopold Friedrich Günther von	1748-07-13	1828-02-18	Männlich	(1748–1828)
Birch-Pfeiffer, Charlotte	118658875	Birch-Pfeiffer, Charlotte	1800-06-23	1868-08-25	Weiblich	(1800–1868)
May, Karl	118818651	May, Karl	1842-02-25	1912-03-30	Männlich	(1842–1912)
Boccaccio, Giovanni	11851217X	Boccaccio, Giovanni	1313-06-16	1375-12-21	Männlich	(1313–1375)
Altenberg, Peter	118502255	Altenberg, Peter	1859-03-09	1919-01-08	Männlich	(1859–1919)
Coleridge, Samuel Taylor	118521500	Coleridge, Samuel Taylor	1772-10-21	1834-07-25	Männlich	(1772–1834)
Keats, John	118560883	Keats, John	1795	1821	Männlich	(1795–1821)
Schmidt, Johann Georg	104278218	Schmidt, Johann Georg	1660-04	1722-03-10	Unbekannt	(1660–1722)
Frapan, Ilse	1063133041	Frapan, Ilse	1849-02-03	1908-12-02	Weiblich	(1849–1908)
Besser, Johann von	11851024X	Besser, Johann von	1654-05-08	1729-02-10	Männlich	(1654–1729)
Aristophanes	118503987	Aristophanes	-0445	-0385	Männlich	(um 445 – um 385 v. Chr.)
Waiblinger, Wilhelm	11862850X	Waiblinger, Wilhelm	1804-11-21	1830-01-17	Männlich	(1804–1830)
Scheerbart, Paul	118606816	Scheerbart, Paul	1863-01-08	1915-10-15	Männlich	(1863–1915)
Christ, Lena	118520555	Christ, Lena	1881-10-30	1920-06-30	Weiblich	(1881–1920)
Stifter, Adalbert	118618156	Stifter, Adalbert	1805-10-23	1868-01-28	Männlich	(1805–1868)
Hilscher, Paul Christian	120295997	Hilscher, Paul Christian	1666-03-11	1730-08-03	Männlich	(1666–1730)
Gemmingen, Otto H. von	118716778	Gemmingen, Otto H. von	1755-11-05	1836-03-03	Männlich	(1755–1836)
Meinhold, Wilhelm	118732692	Meinhold, Wilhelm	1797-02-27	1851-11-30	Männlich	(1797–1851)
La Fontaine, Jean de	11856868X	La Fontaine, Jean de	1621-07-08	1695-04-13	Männlich	(1621–1695)
Timlich, Karl	124517323	Timlich, Karl	1744	1825-02-01	Männlich	(1748–1825)
Tasso, Torquato	118620916	Tasso, Torquato	1544-03-11	1595-04-25	Männlich	(1544–1595)
Müller-Jahnke, Clara	117598127	Müller-Jahnke, Clara	1861-02-05	1905-11-04	Weiblich	(1860–1905)
Wienbarg, Ludolf	118807226	Wienbarg, Ludolf	1802-12-25	1872-01-02	Männlich	(1802–1872)
Kadelburg, Gustav	116015675	Kadelburg, Gustav	1851-07-26	1925-09-11	Männlich	(1851–1925)
Karsch, Anna Luise	118560328	Karsch, Anna Luise	1722-12-01	1791-10-12	Weiblich	(1722–1791)
Borkenstein, Hinrich	100428428	Borkenstein, Hinrich	1705-10-21	1777-11-29	Männlich	(1705–1777)
Wedekind, Frank	118629867	Wedekind, Frank	1864-07-24	1918-03-09	Männlich	(1864–1918)
Raimund, Ferdinand	118597914	Raimund, Ferdinand	1790-06-01	1836-09-05	Männlich	(1790–1836)
Jacobi, Johann Georg	118775782	Jacobi, Johann Georg	1740-09-02	1814-01-04	Männlich	(1740–1814)
Turgenev, Ivan Sergeevič	118643010	Turgenev, Ivan Sergeevič	1818-11-09	1883-09-03	Männlich	(1818–1883)
Iffland, August Wilhelm	118555324	Iffland, August Wilhelm	1759-04-19	1814-09-22	Männlich	(1759–1814)
Behrens, Georg Henning	129356883	Behrens, Georg Henning	1662-06-05	1712-01-07	Männlich	(1662–1712)
Laufs, Carl	106290916	Laufs, Carl	1858-12-20	1900-08-13	Männlich	(1858–1901)
Heym, Georg	118550683	Heym, Georg	1887-10-30	1912-01-16	Männlich	(1887–1912)
Freytag, Gustav	118535455	Freytag, Gustav	1816-07-13	1895-04-30	Männlich	(1816–1895)
Milton, John	118582607	Milton, John	1608-12-09	1674-11-10	Männlich	(1608–1674)
Wette, Adelheid	119514125	Wette, Adelheid	1858-09-04	1916-08-09	Weiblich	(1858–1916)
Puškin, Aleksandr Sergeevič	118641816	Puškin, Aleksandr Sergeevič	1799-06-06	1837-02-10	Männlich	(1799–1837)
Ramler, Karl Wilhelm	119059614	Ramler, Karl Wilhelm	1725-02-25	1798-04-11	Männlich	(1725–1798)
Morgenstern, Christian	11881169X	Morgenstern, Christian	1871-05-06	1914-03-31	Männlich	(1871–1914)
Essig, Hermann	118531212	Essig, Hermann	1878-08-28	1918-06-21	Männlich	(1878–1918)
Daumer, Georg Friedrich	118678957	Daumer, Georg Friedrich	1800-03-05	1875-12-13	Männlich	(1800–1875)
Francisci, Erasmus	118534629	Francisci, Erasmus	1627-11-19	1694-12-20	Männlich	(1627–1694)
Heinrich Julius, Braunschweig-Wolfenbüttel, Herzog	118709887	Heinrich Julius, Braunschweig-Wolfenbüttel, Herzog	1564-10-15	1613-07-30	Männlich	(1546–1613)
Müller, Wilhelm	11858524X	Müller, Wilhelm	1794-10-07	1827-09-30	Männlich	(1794–1827)
Ǧalāl-ad-Dīn Rūmī	118716158	Ǧalāl-ad-Dīn Rūmī	1207	1273	Männlich	(1207–1273)
Scheffel, Joseph Victor von	118606832	Scheffel, Joseph Victor von	1826-02-16	1886-04-09	Männlich	(1826–1886)
Jerschke, Oskar	117115827	Jerschke, Oskar	1861-07-17	1928-08-24	Männlich	(1861–1928)
Lenau, Nikolaus	118571508	Lenau, Nikolaus	1802-08-13	1850-08-22	Männlich	(1802–1850)
Treitschke, Georg Friedrich	117409030	Treitschke, Georg Friedrich	1776-08-29	1842-06-04	Männlich	(1776–1842)
Boy-Ed, Ida	118662473	Boy-Ed, Ida	1852-04-17	1928-05-13	Weiblich	(1852–1928)
Hensel, Luise	118710524	Hensel, Luise	1798-03-30	1876-12-18	Weiblich	(1798–1876)
Federer, Heinrich	118532200	Federer, Heinrich	1866-10-06	1928-04-29	Männlich	(1866–1928)
Hofmann von Hofmannswaldau, Christian	118706187	Hofmann von Hofmannswaldau, Christian	1617-12-25	1679-04-18	Männlich	(1616–1679)
Bauernfeld, Eduard von	118507400	Bauernfeld, Eduard von	1802-01-13	1890-08-09	Männlich	(1802–1890)
Corneille, Pierre	118522175	Corneille, Pierre	1606-06-06	1684-10-01	Männlich	(1606–1689)
Scribe, Eugène	118612425	Scribe, Eugène	1791-12-24	1861-02-20	Männlich	(1791–1861)
Brinckman, John	118660101	Brinckman, John	1814-07-03	1870-09-20	Männlich	(1814–1870)
Ibsen, Henrik	118555286	Ibsen, Henrik	1828-03-20	1906-05-23	Männlich	(1828–1906)
Scott, Walter	118612409	Scott, Walter	1771-08-15	1832-09-21	Männlich	(1771–1832)
Shakespeare, William	118613723	Shakespeare, William	1564-04-23	1616-04-23	Männlich	(1564–1616)
Verne, Paul	109493850	Verne, Paul	1829-11-29	1897-08-27	Männlich	(1829–1897)
Crébillon, Claude Prosper Jolyot de	118677276	Crébillon, Claude Prosper Jolyot de	1707-02-14	1777-04-12	Männlich	(1707–1777)
Kirchmaier, Theodor	100302696	Kirchmaier, Theodor	1645	1715	Männlich	(1645–1715)
Braun von Braunthal, Karl Johann	116428384	Braun von Braunthal, Karl Johann	1802-06-06	1866-11-26	Männlich	(1802–1866)
Lenz, Jakob Michael Reinhold	118571656	Lenz, Jakob Michael Reinhold	1751-01-12	1792-05-24	Männlich	(1751–1792)
Nicolai, Friedrich	118587668	Nicolai, Friedrich	1733-03-18	1811-01-08	Männlich	(1733–1811)
Schnitzler, Arthur	118609807	Schnitzler, Arthur	1862-05-15	1931-10-21	Männlich	(1862–1931)
Rost, Johann Christoph	118791273	Rost, Johann Christoph	1717-04-07	1765-07-19	Männlich	(1717–1765)
Schröder-Devrient, Wilhelmine	119056569	Schröder-Devrient, Wilhelmine	1804-12-06	1860-01-26	Weiblich	(1804–1860)
Stäudlin, Gotthold Friedrich	117202991	Stäudlin, Gotthold Friedrich	1758-10-15	1796-09-17	Männlich	(1758–1796)
Pyra, Immanuel Jakob	119023776	Pyra, Immanuel Jakob	1715-07-25	1744-07-14	Männlich	(1715–1744)
Novalis	118588893	Novalis	1772-05-02	1801-03-25	Männlich	(1772–1802)
Rebhun, Paul	118819542	Rebhun, Paul	1505	1546	Männlich	(um 1500–1546)
Du Monchaux, Pierre-Antoine-Joseph	100466311	Du Monchaux, Pierre-Antoine-Joseph	1733	1766	Männlich	(1733–1766)
Kaltneker, Hans	11855963X	Kaltneker, Hans	1895-02-02	1919-09-29	Männlich	(1895–1919)
Bäuerle, Adolf	119560038	Bäuerle, Adolf	1786-04-10	1859-09-20	Männlich	(1786–1859)
Ringelnatz, Joachim	118601121	Ringelnatz, Joachim	1883-08-07	1934-11-17	Männlich	(1883–1934)
Fielding, Henry	118532960	Fielding, Henry	1707-04-22	1754-10-08	Männlich	(1707–1754)
Moritz, Karl Philipp	118584162	Moritz, Karl Philipp	1756-09-15	1793-06-26	Männlich	(1756–1793)
Reuter, Fritz	118599976	Reuter, Fritz	1810-11-07	1874-07-12	Männlich	(1810–1874)
Raupach, Ernst Benjamin Salomo	100823548	Raupach, Ernst Benjamin Salomo	1784-05-21	1852-03-18	Männlich	(1784–1852)
Birken, Sigmund von	118511270	Birken, Sigmund von	1626-04-25	1681-06-12	Männlich	(1626–1681)
Laube, Heinrich	118570080	Laube, Heinrich	1806-09-18	1884-08-01	Männlich	(1806–1884)
Fischer, Caroline Auguste	118890263	Fischer, Caroline Auguste	1764	1822	Weiblich	(1764–1842)
Widmann, Georg Rudolf	104164999	Widmann, Georg Rudolf	1550	1594	Männlich	(1560–1600)
Marlowe, Christopher	118578065	Marlowe, Christopher	1564-02-26	1593-05-30	Männlich	(1564–1593)
Schober, Franz von	116849436	Schober, Franz von	1796-05-17	1882-09-13	Männlich	(1798–1882)
Willkomm, Ernst	11739467X	Willkomm, Ernst	1810-02-10	1886-05-24	Männlich	(1810–1886)
Ewald, Johann Joachim	116612665	Ewald, Johann Joachim	1727	1762	Männlich	(1727–1762)
Schröder, Friedrich Ludwig	118610813	Schröder, Friedrich Ludwig	1744-11-03	1816-09-03	Männlich	(1744–1816)
Däubler, Theodor	118850245	Däubler, Theodor	1876-08-17	1934-06-13	Männlich	(1876–1934)
Swift, Jonathan	118620193	Swift, Jonathan	1667-11-30	1745-10-19	Männlich	(1667–1745)
Meisl, Karl	119323915	Meisl, Karl	1775-06-30	1853-10-08	Männlich	(1775–1853)
Rétif de La Bretonne, Nicolas-Edme	11864193X	Rétif de La Bretonne, Nicolas-Edme	1734-10-23	1806-02-03	Männlich	(1734–1806)
Plavius, Johannes	130634417	Plavius, Johannes			Unbekannt	(?–nach 1630)
Genée, Richard	119312212	Genée, Richard	1823-02-07	1895-06-15	Männlich	(1823–1895)
Wenz, Dominicus	1012371786	Wenz, Dominicus	1690	1755	Unbekannt	(1699–1755)
Pfeil, Johann Gottlob Benjamin	115546456	Pfeil, Johann Gottlob Benjamin	1732-11-10	1800-09-28	Unbekannt	(1732–1800)
Leskov, Nikolaj Semënovič	118640488	Leskov, Nikolaj Semënovič	1831-02-16	1895-03-05	Männlich	(1831–1895)
Unger, Friedrike H.	105551130X	Unger, Friedrike H.	1751	1813	Unbekannt	(1751–1813)
Vulpius, Christian August	118770489	Vulpius, Christian August	1762-01-22	1827-06-26	Männlich	(1762–1827)
Saʿdī	118604716	Saʿdī	1210	1291	Unbekannt	(1200–1290)
Egenolff, Christian	122968468	Egenolff, Christian	1502-07-26	1555-02-09	Männlich	(1502–1555)
Mylius, Christlob	11858605X	Mylius, Christlob	1722	1754	Männlich	(1722–1754)
Platen-Hallermunde, August von	1244000264	Platen-Hallermunde, August von	1796-10-24	1835-12-05	Unbekannt	(1796–1835)
Liliencron, Detlev von	118572954	Liliencron, Detlev von	1844-06-03	1909-07-22	Männlich	(1844–1909)
Simrock, Karl	118614576	Simrock, Karl	1802-08-28	1876-07-18	Männlich	(1802–1876)
Ebner-Eschenbach, Marie von	118528661	Ebner-Eschenbach, Marie von	1830-09-13	1916-03-12	Weiblich	geb. Freiin von Dubsky (seit 1843 Gräfin) (1830–1916)
Hölderlin, Friedrich	118551981	Hölderlin, Friedrich	1770-03-20	1843-06-07	Männlich	(1770–1843)
Bräker, Ulrich	118514210	Bräker, Ulrich	1735-12-22	1798-09-11	Männlich	(1735–1798)
Engel, Johann Jakob	11868468X	Engel, Johann Jakob	1741-09-11	1802-06-28	Männlich	(1741–1802)
Ariosto, Ludovico	118503952	Ariosto, Ludovico	1474-09-08	1533-07-06	Männlich	(1474–1533)
Cornelius, Peter	118522213	Cornelius, Peter	1824-12-24	1874-10-26	Männlich	(1824–1874)
Pröhle, Heinrich	116292199	Pröhle, Heinrich	1822-07-04	1895-05-28	Männlich	(1822–1895)
Denis, Michael	116071532	Denis, Michael	1729-09-27	1800-09-29	Männlich	(1729–1800)
Schreger, Odilo	119531682	Schreger, Odilo	1697-11-02	1774-09-21	Männlich	(1697–1774)
Dehmel, Richard	118679236	Dehmel, Richard	1863-11-18	1920-02-08	Männlich	(1863–1920)
Wildermuth, Ottilie	118632833	Wildermuth, Ottilie	1817-02-22	1877-07-12	Weiblich	(1817–1877)
Mitternacht, Johann Sebastian	118582879	Mitternacht, Johann Sebastian	1613-03-30	1679-07-25	Männlich	(1613–1679)
Wagner, Richard	118594117	Wagner, Richard	1813-05-22	1883-02-13	Männlich	(1813–1883)
Abraham, a Sancta Clara	11850021X	Abraham, a Sancta Clara	1644-07-02	1709-12-01	Männlich	(1644–1709)
Löhr, Johann Andreas Christian	117676896	Löhr, Johann Andreas Christian	1764-05-18	1823-06-28	Männlich	(1764–1823)
Tolstoj, Lev Nikolaevič	11864291X	Tolstoj, Lev Nikolaevič	1828-09-09	1910-11-20	Männlich	(1828–1910)
Voß, Johann Heinrich	118627910	Voß, Johann Heinrich	1751-02-20	1826-03-29	Männlich	(1751–1826)
Kleist, Ewald Christian von	118723499	Kleist, Ewald Christian von	1715-03-09	1759-05-24	Männlich	(1715–1759)
Nietzsche, Friedrich	118587943	Nietzsche, Friedrich	1844-10-15	1900-08-25	Männlich	(1844–1900)
Heyse, Paul	118550772	Heyse, Paul	1830-03-15	1914-04-02	Männlich	(1830–1914)
Heinse, Wilhelm	118548565	Heinse, Wilhelm	1746-02-15	1803-06-22	Männlich	(1746–1803)
Bunge, Rudolf	117156302	Bunge, Rudolf	1836-03-27	1907-05-05	Männlich	(1836–1907)
Dovsky, Beatrice	12686022X	Dovsky, Beatrice	1866-11-14	1923-07-18	Weiblich	(1866–1923)
Jacoby, Wilhelm	117049239	Jacoby, Wilhelm	1855-03-08	1925-02-20	Männlich	(1855–1925)
Herder, Johann Gottfried von	118549553	Herder, Johann Gottfried von	1744-08-25	1803-12-18	Männlich	(1744–1803)
Müller, Johann Gottwerth	118585274	Müller, Johann Gottwerth	1743-05-17	1828-06-23	Männlich	(1743–1828)
Ruppius, Otto	116708859	Ruppius, Otto	1819-02-01	1864-06-25	Männlich	(1819–1864)
Malss, Karl	119098911	Malss, Karl	1792	1848	Männlich	(1855–1925)
Meisel-Hess, Grete	119017660	Meisel-Hess, Grete	1879-04-18	1922-04-18	Weiblich	(1879–1922)
Neukirch, Benjamin	118785990	Neukirch, Benjamin	1665-03-27	1729-08-15	Männlich	(1665–1729)
Hebel, Johann Peter	118547453	Hebel, Johann Peter	1760-05-10	1826-09-22	Männlich	(1760–1826)
Gotter, Friedrich Wilhelm	118540939	Gotter, Friedrich Wilhelm	1746-09-03	1797-03-18	Männlich	(1746–1797)
Grillparzer, Franz	118542192	Grillparzer, Franz	1791-01-15	1872-01-21	Männlich	(1791–1872)
Blankenburg, Christian Friedrich von	119025701	Blankenburg, Christian Friedrich von	1744-01-24	1796-05-04	Männlich	(1744–1796)
Wackenroder, Wilhelm Heinrich	118628097	Wackenroder, Wilhelm Heinrich	1773-07-13	1798-02-13	Männlich	(1773–1798)
Panizza, Oskar	118739131	Panizza, Oskar	1853-11-12	1921-09-30	Männlich	(1853–1921)
Gehe, Eduard Heinrich	102522359	Gehe, Eduard Heinrich	1793-02-01	1850-02-13	Männlich	(1793–1850)
Hackländer, Friedrich Wilhelm	118699962	Hackländer, Friedrich Wilhelm	1816-11-01	1877-07-06	Männlich	(1816–1877)
Weerth, Georg	117208612	Weerth, Georg	1822-02-17	1856-07-30	Männlich	(1822–1856)
Waldis, Burkhard	118628666	Waldis, Burkhard	1490	1556	Männlich	(1490/1495–1556)
Hebbel, Friedrich	118547445	Hebbel, Friedrich	1813-03-18	1863-12-13	Männlich	(1813–1863)
Brantôme, Pierre de Bourdeille de	118673327	Brantôme, Pierre de Bourdeille de	1540	1614	Männlich	(1540–1614)
Braun, Lily	11867353X	Braun, Lily	1865-07-02	1916-08-07	Weiblich	(1865–1916)
Sachs, Hans	118604597	Sachs, Hans	1494-11-05	1576-01-19	Männlich	(1494–1576)
Schmid, Ferdinand von	101257228	Schmid, Ferdinand von	1823	1888	Männlich	(1823–1888)
Flaubert, Gustave	118533754	Flaubert, Gustave	1821-12-12	1880-05-08	Männlich	(1821–1880)
Tucholsky, Kurt	11862444X	Tucholsky, Kurt	1890-01-09	1935-12-21	Männlich	(1890–1935)
Boie, Heinrich Christian	118661078	Boie, Heinrich Christian	1744-07-19	1806-03-03	Männlich	(1744–1806)
Kuhn, Adalbert	116601825	Kuhn, Adalbert	1812-11-19	1881-05-05	Männlich	(1812–1881) (1821–1899)
Geßner, Salomon	118538969	Geßner, Salomon	1730-04-01	1788-03-02	Männlich	(1730–1788)
Marcel, Gabriel	116759313	Marcel, Gabriel	1843-04-07	1909-01-26	Männlich	(1843–1909)
Fouqué, Caroline de La Motte-	118692321	Fouqué, Caroline de La Motte-	1775-10-07	1831-07-21	Weiblich	(1775–1831)
Wagner, Heinrich Leopold	11862833X	Wagner, Heinrich Leopold	1747-02-19	1779-03-04	Männlich	(1747–1779)
Bräuner, Johann Jacob	124536557	Bräuner, Johann Jacob	1647		Männlich	(1647–1737)
Gottschalck, Kaspar Friedrich	104217774	Gottschalck, Kaspar Friedrich	1772-07-15	1854-06-17	Männlich	(1772 – nach 1836)
Zinzendorf, Erdmuthe Dorothea von	118808494	Zinzendorf, Erdmuthe Dorothea von	1700-11-07	1756-06-19	Weiblich	(1700–1756)
Weisser, Friedrich Christoph	117301817	Weisser, Friedrich Christoph	1761-03-07	1836-01-09	Männlich	(1761–1836)
Thoma, Ludwig	118622072	Thoma, Ludwig	1867-01-21	1921-08-26	Männlich	(1867–1921)
Ball, Hugo	118506234	Ball, Hugo	1886-02-22	1927-09-14	Männlich	(1886–1927)
Hunold, Christian Friedrich	118554840	Hunold, Christian Friedrich	1681-09-19	1721-08-06	Männlich	(1681–1721)
Wörishöffer, Sophie	105404624	Wörishöffer, Sophie	1838-10-06	1890-11-08	Weiblich	(1838–1890)
Tirso, de Molina	118642863	Tirso, de Molina	1579-03-24	1648-03-12	Männlich	(1571–1648)
Sealsfield, Charles	1070181080	Sealsfield, Charles	1793-03-03	1864-05-26	Männlich	(1793–1864)
Möser, Justus	11858314X	Möser, Justus	1720-12-14	1794-01-08	Männlich	(1720–1794)
Storm, Theodor	118618725	Storm, Theodor	1817-09-14	1888-07-04	Männlich	(1817–1888)
Wolzogen, Karoline von	118771272	Wolzogen, Karoline von	1763-02-03	1847-01-11	Weiblich	(1763–1847)
Wernicke, Christian	118631586	Wernicke, Christian	1661	1725	Männlich	(1661–1725)
Chorier, Nicolas	121323560	Chorier, Nicolas	1612	1692	Unbekannt	(1612–1692)
Busch, Wilhelm	118517880	Busch, Wilhelm	1832-04-15	1908-01-09	Männlich	(1832–1908)
Gloger, Georg	124581145	Gloger, Georg	1603	1631-10-16	Unbekannt	(1603–1631)
Arent, Wilhelm	116199059	Arent, Wilhelm	1864-03-07		Männlich	(1864–?)
Thümmel, Moritz August von	118622358	Thümmel, Moritz August von	1738-05-27	1817-10-26	Männlich	(1738–1817)
Suetonius Tranquillus, Gaius	118619918	Suetonius Tranquillus, Gaius	0070	0150	Männlich	(um 70 n. Chr. – 140)
Bernhardi, Sophie	118973665	Bernhardi, Sophie	1775-02-28	1833-10-12	Weiblich	(1775–1833)
Nestroy, Johann	118587080	Nestroy, Johann	1801-12-07	1862-05-15	Männlich	(1801–1862)
Niebergall, Ernst Elias	118734776	Niebergall, Ernst Elias	1815-01-13	1843-04-19	Männlich	(1815–1843)
Meier, Ernst Heinrich	117551848	Meier, Ernst Heinrich	1813-05-17	1866-03-02	Männlich	(1813–1866)
Bostel, Lucas von	123383927	Bostel, Lucas von	1649-10-11	1716-07-15	Männlich	(1649–1716)
Schulze, Ernst	11899848X	Schulze, Ernst	1789-03-22	1817-06-29	Männlich	(1789–1817)
Stephanie, Gottlieb	119545799	Stephanie, Gottlieb	1741-02-19	1800-01-23	Männlich	(1741–1800)
Devrient, Eduard	118525042	Devrient, Eduard	1801-08-11	1877-10-04	Männlich	(1801–1877)
Stockfleth, Katharina Maria	118010832	Stockfleth, Katharina Maria	1634-12-20	1692-08-19	Weiblich	(1634–1692)
Naubert, Benedikte	118586564	Naubert, Benedikte	1752-09-13	1819-01-12	Weiblich	(1756–1819)
Wilde, Oscar	118632779	Wilde, Oscar	1854-10-16	1900-11-30	Männlich	(1854–1900)
Schottel, Justus Georg	118610554	Schottel, Justus Georg	1612-06-23	1676-10-25	Männlich	(1612–1676)
Ovidius Naso, Publius	118590995	Ovidius Naso, Publius	-0043	0017	Männlich	(20.3.43 v. Chr. – um 18 n. Chr.)
Fischart, Johann	118533185	Fischart, Johann	1546	1590	Männlich	(1546–1590)
Tiedge, Christoph August	118904418	Tiedge, Christoph August	1752-12-14	1841-03-08	Männlich	(1752–1841)
Gryphius, Christian	119209322	Gryphius, Christian	1649-09-29	1706-03-06	Männlich	(1649–1706)
