wort,hitler,biden
breast,2,2
breath,3,10
bridge,2,94
brief,2,6
bright,1,1
brilliant,14,3
bring,86,70
bringing,27,24
brings,16,9
brink,2,4
britain,84,1
british,74,1
broad,83,11
broadcast,2,3
broader,1,3
broadly,1,5
broke,29,5
broken,40,8
brother,3,29
brotherhood,1,1
brought,79,26
bruised,1,2
brunt,4,1
brutal,21,4
brutality,5,3
brutally,2,2
brute,7,1
budget,1,6
build,17,262
building,49,80
built,14,72
bulk,14,3
bull,1,2
bullet,4,7
bully,1,1
bur,1,1
burden,14,16
buried,3,1
burn,2,8
burning,4,10
business,42,125
bust,2,1
busy,8,4
butt,1,1
buy,2,26
buying,2,8
by,1,1
c,2,4
cabinet,11,11
calamity,3,2
calculated,12,3
calculation,7,1
call,76,100
called,112,59
calling,17,21
calm,12,2
came,122,92
cameroon,1,1
camp,20,4
campaign,31,10
cancer,1,29
candidate,4,7
cannon,2,1
cannot,184,39
cap,3,10
capability,13,13
capable,70,9
capacity,37,50
capital,32,18
capitalism,1,2
capitalist,3,13
captain,2,2
capture,1,3
captured,1,2
car,1,29
card,4,10
care,26,161
cared,4,2
career,18,19
careful,13,6
carefully,27,5
caring,3,7
carried,83,6
carrier,3,12
carry,64,18
carrying,20,15
case,252,95
cast,11,7
casual,1,1
catastrophe,21,4
catastrophic,5,3
catch,2,4
catching,2,4
category,6,5
catholic,24,6
catholicism,3,1
caucus,1,7
caught,2,6
cause,157,29
caused,23,22
causing,3,16
caution,1,1
cease,21,2
celebrate,2,9
celebrated,1,1
celebration,4,2
cell,6,8
cent,8,15
central,32,13
century,65,84
ceremony,3,1
certain,239,30
certainly,55,2
certainty,3,6
chain,6,50
chair,5,20
chairman,21,24
chamber,10,16
champion,42,7
championed,8,6
championing,2,1
chance,38,71
chancellor,7,2
change,79,164
changed,19,31
changing,9,29
chaos,6,8
chapter,4,3
character,143,8
charge,12,20
charged,2,2
cheaper,1,8
cheating,1,1
check,7,27
checked,1,2
cheering,2,1
chemistry,2,1
cherished,4,2
chief,41,28
child,63,361
childhood,4,10
china,1,65
chinese,1,1
choice,10,36
choir,1,1
choose,10,22
choosing,5,5
chorus,1,1
chose,10,3
chosen,35,2
christian,21,3
christianity,6,1
christmas,1,18
church,36,11
circle,95,2
circuit,1,6
circumstance,57,46
citadel,6,1
citizen,67,42
citizenship,11,3
city,77,55
civic,11,1
civil,33,46
civilian,3,28
claim,26,19
claiming,2,3
clarity,5,3
class,165,95
classified,5,10
claus,1,1
clean,1,76
cleanup,1,6
clear,83,116
cleared,4,2
clearer,7,3
clearing,1,4
clearly,58,16
clergy,11,2
clerk,3,1
climate,6,171
climatic,1,1
climb,2,2
climbed,2,1
clone,1,2
close,27,74
closed,4,13
closely,7,23
closer,10,19
closing,1,11
club,6,1
co,1,1
coach,1,1
coal,5,19
coalition,25,7
coast,2,16
coastline,1,1
code,6,25
coercion,3,2
coercive,1,1
coherent,2,1
cohesive,2,1
coincide,4,1
cold,9,13
collaborate,3,1
collaborating,2,1
collaboration,8,1
collapse,69,4
collapsed,6,4
colleague,3,31
collect,5,4
collection,4,3
collective,2,19
college,4,60
colonel,3,3
columbus,2,1
combat,12,12
combating,3,3
combination,7,7
combine,6,1
combined,13,28
come,186,263
coming,27,86
command,16,5
commander,3,27
commemorate,1,2
comment,1,7
commerce,11,9
commercial,39,9
commission,2,14
commit,5,11
committed,19,28
committee,37,24
committing,1,8
common,109,13
communication,3,11
communist,9,1
community,109,180
company,19,94
comparable,5,1
compare,11,1
compared,20,5
comparing,2,1
compelling,3,1
compensate,1,1
compensated,1,1
compensation,1,1
compete,5,34
competent,10,1
competition,5,31
competitive,1,22
competitor,3,10
complacent,1,3
complain,9,2
complaining,5,4
complete,42,12
completed,11,2
completely,56,12
completing,1,1
completion,1,1
complex,2,5
compliment,1,3
compound,1,1
comprehensive,8,6
comprised,2,1
compromise,9,12
comrade,29,1
concealed,1,1
conceived,3,1
concentrated,16,1
concept,38,1
conception,28,2
concern,22,27
concerned,42,8
concerning,10,1
concert,1,1
concerted,1,1
conclude,4,5
concluded,7,5
conclusion,29,3
concord,1,1
concrete,4,5
condemn,4,2
condition,173,27
conditioned,5,1
conduct,53,5
conducted,16,1
conducting,6,3
conference,3,9
confidence,28,15
confident,3,16
confirm,7,1
confirmed,8,16
conflict,62,29
confront,1,10
confronted,11,1
confronting,2,3
confuse,1,1
confused,8,2
confusion,12,7
congested,1,2
congestion,1,3
congratulation,1,5
congress,3,90
connected,16,3
connecting,1,3
connection,28,2
conquer,8,1
conscience,18,2
conscious,18,1
consciousness,12,1
consecutive,1,3
consensus,1,18
consent,8,3
consented,2,1
consequence,88,33
conservation,7,3
conservative,8,3
conserve,2,1
consider,56,5
considerable,6,5
considerably,2,2
consideration,64,4
considered,99,4
considering,8,3
consistent,5,8
consistently,1,1
consists,19,1
conspiracy,4,2
constant,18,14
constantly,28,5
constituency,2,2
constituent,10,2
constitution,25,18
constitutional,9,3
constrained,1,1
construction,5,6
constructive,14,3
consumer,1,23
consuming,1,2
contact,21,20
contain,4,2
contained,5,3
contains,1,2
contaminated,6,1
content,27,2
contest,3,2
context,1,3
continent,18,2
contingency,2,2
continue,49,162
continued,25,18
continues,2,18
continuing,3,29
contract,3,4
contracting,5,1
contrary,68,1
contrast,15,1
contribute,9,4
contributed,11,1
contributing,2,2
contribution,9,10
control,40,30
controlled,6,4
controlling,2,3
convenient,4,15
conveniently,1,1
conversation,1,23
conversion,1,2
convict,1,1
conviction,71,4
convince,6,5
convinced,46,12
convincing,5,1
cook,2,4
cool,4,1
cooperate,2,4
cooperation,7,24
cooperative,10,4
coordinate,1,4
cope,3,1
core,1,11
corner,6,8
corp,5,13
corporate,2,21
corporation,2,65
correct,26,5
correctly,10,1
corrupt,8,3
corrupted,4,1
corruption,9,11
cost,23,216
costly,1,1
could,560,158
council,10,16
counsel,2,11
count,18,14
counted,6,7
counter,6,4
countering,1,2
counterpart,4,3
counting,3,10
country,168,516
countryside,2,1
coup,3,2
couple,7,31
courage,57,35
courageous,11,5
course,207,26
court,20,60
cover,8,27
covered,6,9
coward,12,2
crack,2,2
cramp,1,1
cramped,2,2
crash,1,9
crazy,7,2
create,22,65
created,45,41
creates,1,13
creating,7,34
creation,17,23
creative,64,1
creator,15,5
credibility,1,3
credit,5,65
crew,2,9
crime,20,20
criminal,46,10
crisis,6,108
critic,3,2
critical,15,72
critically,5,5
criticism,19,1
cross,4,16
crossed,1,1
crossing,4,2
crowd,22,7
crowded,3,6
crown,13,1
cruel,4,4
cruiser,1,1
crumbling,1,1
crush,5,1
crushed,3,2
cry,26,4
crypt,1,1
crystal,1,3
cup,1,1
curbed,1,1
cure,8,5
currency,2,3
current,18,12
curtailed,4,1
curve,1,7
custom,10,1
cut,9,117
cynical,1,1
dagger,2,4
daily,50,5
damage,18,45
damaged,1,6
dance,1,3
dancing,1,1
danger,79,12
dangerous,28,43
dare,11,5
dared,7,1
dark,10,6
darkest,1,2
darkness,3,5
data,3,27
date,15,8
daughter,3,42
david,2,5
dawn,3,2
day,283,332
de,4,1
dead,24,12
deadly,7,6
deal,45,143
dealing,26,38
dealt,24,10
dear,3,7
dearly,5,2
death,52,33
debate,7,19
debated,1,7
debating,2,4
debt,3,79
decade,12,78
decay,13,3
decaying,1,2
december,5,7
decency,4,10
decent,16,24
deceptive,2,1
decide,27,9
decided,50,19
decides,6,3
deciding,10,4
decimated,1,1
decision,78,56
decisive,26,9
decisively,1,2
declaration,6,21
declare,11,2
declared,22,3
declaring,2,1
decline,27,7
declining,1,4
decoration,4,1
decrease,3,3
dedicate,1,4
dedicated,2,6
dedicating,1,1
deemed,5,1
deep,6,14
deepen,1,2
deeper,10,1
deepest,2,1
deeply,17,9
defamation,4,1
default,1,4
defeat,29,9
defeated,6,8
defend,48,39
defended,7,2
defender,8,5
defending,14,15
defensive,13,3
deficient,1,1
define,2,5
defined,8,4
definition,7,2
defy,4,1
degradation,6,2
degrade,1,3
degraded,4,1
degree,63,32
delay,2,12
deliberate,6,1
deliberation,1,1
delighted,3,1
deliver,5,38
delivered,21,14
delivering,6,14
demand,66,14
demanded,17,1
demanding,2,2
democracy,69,148
democrat,22,62
democratic,47,45
demonstrate,2,7
demonstrating,2,3
demonstration,27,1
denial,1,1
denied,12,11
dental,1,3
deny,12,12
depart,2,2
department,13,81
departure,1,4
depend,13,6
dependence,2,2
dependent,20,2
depending,2,6
depends,15,13
depot,1,1
depravity,2,1
depression,3,6
deprivation,1,1
deprived,11,1
deprives,3,1
depth,9,4
deputy,6,1
der,3,1
derogatory,2,1
described,18,5
description,6,1
desert,6,1
deserve,6,18
deserved,7,2
deserves,7,8
design,9,4
designation,1,1
designed,5,17
designing,2,1
desire,29,3
despair,10,4
desperate,5,7
despite,21,19
destined,22,1
destiny,39,1
destroy,26,4
destroyed,22,6
destroying,9,4
destruction,47,19
destructive,15,2
detail,17,22
detailed,5,5
detect,2,7
deter,1,1
determination,45,7
determine,8,21
determined,55,26
deterred,1,1
detour,1,1
devastating,7,21
develop,26,11
developed,54,10
developing,16,22
development,130,27
devil,6,7
devote,13,1
devoted,18,1
devotion,14,6
diagnosed,3,6
dial,1,1
dictate,8,2
dictator,2,4
dictatorial,2,1
die,21,17
died,9,22
difference,34,32
different,107,75
differentiate,4,3
differently,4,4
difficult,87,38
difficulty,25,3
dig,1,2
digging,1,1
dignified,4,1
dignity,17,69
diligently,1,2
diminished,1,2
diminishes,1,2
diplomacy,6,14
diplomat,8,11
diplomatic,4,4
dire,3,4
direct,24,17
directed,43,6
directing,5,6
direction,32,19
directly,11,19
director,5,14
dirty,2,2
disability,1,8
disadvantage,3,3
disagreeable,4,1
disappointed,1,2
disappointment,2,2
disaster,21,43
discharged,1,1
discipline,20,2
discontent,15,1
discord,3,1
discover,15,1
discovery,14,1
discrimination,2,8
discus,9,15
discussed,10,10
discussing,3,3
discussion,34,11
disease,36,27
disgraceful,6,2
disgusting,2,1
dismissed,1,1
disparaging,1,1
dispatch,2,1
displaced,1,3
displacement,2,1
display,9,2
displayed,20,1
disposal,17,4
dispute,12,1
disrupt,1,4
disrupting,1,3
disruption,7,12
distance,6,3
distant,6,2
distinct,6,2
distinction,13,5
distinguished,4,10
distress,26,1
distributed,7,2
distributing,1,1
distribution,5,7
district,27,28
diverse,3,6
divert,3,1
divide,5,4
divided,6,5
dividing,1,2
division,20,8
doctor,3,37
document,6,15
domain,9,1
domestic,11,16
dominate,12,5
donated,1,7
donation,1,8
done,89,281
door,12,14
dos,1,25
dose,1,10
double,2,14
doubled,1,3
doubt,25,12
doubted,2,1
dozen,7,9
dr,12,38
draft,1,1
drafted,1,1
dragged,8,3
dragging,3,1
dragon,2,2
draining,1,2
dramatic,2,6
drank,2,1
drastically,1,2
draw,24,6
drawing,10,1
drawn,13,1
dread,2,1
dreadful,1,1
dream,16,12
dreamer,4,2
dreaming,2,3
drill,3,1
drilling,2,3
drink,2,11
drive,9,30
driven,13,3
driver,1,19
driving,8,13
drone,1,5
drop,9,19
dropped,3,9
drove,5,3
drown,1,1
drug,1,89
drum,1,1
drunk,1,1
dry,1,1
dual,11,3
due,54,17
dug,1,1
durable,3,4
duration,2,1
dust,2,1
duty,124,24
dying,4,20
dynamic,2,11
eager,4,1
ear,12,8
earlier,11,39
earliest,1,2
early,44,47
earn,10,8
earned,2,12
earnest,3,2
earning,8,7
earnings,7,2
earth,60,6
ease,7,19
easier,23,24
easiest,3,3
easily,66,4
easing,1,1
east,10,23
eastern,11,7
easy,21,17
eat,3,3
eating,4,3
echo,2,2
economic,169,140
economically,3,9
economics,9,20
economy,6,308
editor,1,2
educated,13,21
educates,1,7
educating,3,2
education,92,88
educational,26,6
edward,2,6
effect,128,19
effected,6,3
effective,36,18
effectively,13,3
efficiency,22,3
efficient,16,7
effort,108,109
egg,2,1
ego,4,1
egyptian,1,2
eight,18,28
either,54,29
elder,3,18
elderly,1,8
elected,7,40
election,19,64
elector,2,1
electoral,3,2
electric,1,71
element,140,13
elementary,8,2
elevated,2,3
eligible,1,43
eliminate,5,9
eliminated,10,1
eliminating,6,3
elite,1,4
elizabeth,1,1
eloquence,1,1
else,46,54
elsewhere,17,4
embark,1,1
embarrassment,1,2
embrace,8,9
embraced,2,2
emerge,4,4
emerged,8,7
emerging,1,10
emotion,4,1
emotional,8,3
emotionally,2,1
emphasis,6,1
empire,60,1
employ,14,3
employed,52,2
employee,17,31
employer,21,12
employment,11,16
empty,10,13
enable,20,5
enabled,19,1
enacted,4,4
encounter,3,1
encourage,3,10
encouraged,8,6
encourages,1,1
encouraging,7,4
end,207,131
ended,7,18
ending,3,11
endless,10,2
endowed,18,4
endowment,2,2
endure,19,1
endured,2,6
endures,1,1
enduring,6,8
enemy,164,23
energy,52,102
enforce,4,1
enforcement,2,47
enforcing,2,3
engage,7,11
engaged,13,14
engagement,2,10
engine,1,2
engineer,4,11
engineering,2,1
england,7,2
english,9,4
enhance,2,5
enhanced,3,3
enjoy,7,1
enormous,30,29
enough,42,97
enrolled,2,6
ensure,5,44
ensures,2,1
ensuring,4,6
entail,3,2
enter,24,2
entered,21,1
entering,10,1
enterprise,18,6
entertainment,1,2
enthusiasm,39,3
enthusiastically,4,1
entire,12,55
entirely,55,5
entitled,10,9
entity,4,2
entrance,7,1
environment,5,16
envy,7,2
epidemic,3,4
equal,34,28
equality,12,16
equally,17,11
equip,2,4
equipment,8,9
equipped,2,2
equitable,1,10
equivalent,2,2
era,15,9
erasing,1,1
erecting,1,1
erratic,1,1
error,20,1
escape,7,7
especially,126,52
essence,11,2
essential,62,24
essentially,11,6
establish,37,8
established,51,11
establishing,20,3
establishment,27,1
estimate,15,9
estimated,11,8
etc,45,1
eternal,28,1
ether,3,1
euro,1,2
europe,73,27
european,30,13
evacuation,1,28
evade,1,3
evaded,2,1
evaluation,2,1
even,470,156
evening,26,4
event,47,24
eventuality,1,1
eventually,23,6
ever,88,181
everincreasing,2,3
every,270,394
everybody,25,90
everyday,18,3
everyone,23,106
everything,82,146
everywhere,19,34
evidence,20,23
evident,19,3
evil,60,6
evolve,1,3
evolved,4,2
exact,6,14
exactly,11,32
examine,15,1
example,82,118
exceeded,4,1
exceedingly,3,1
excellence,4,3
excellent,18,3
except,41,4
exception,16,4
exceptional,5,2
excess,3,1
exchanged,1,1
excited,2,2
excuse,13,39
execute,1,3
executing,1,2
executive,5,26
exemplary,3,2
exemplified,3,1
exercise,27,5
exhaust,1,3
exhaustive,2,1
exist,58,5
existed,28,1
existence,238,6
existing,32,7
exists,36,6
exit,1,1
expand,2,24
expanded,2,9
expanding,1,17
expansion,15,4
expect,21,14
expectation,1,9
expected,12,7
expects,2,4
expedition,3,1
expend,1,2
expenditure,9,2
expense,12,5
experience,71,15
experienced,9,9
experiencing,3,4
experiment,8,2
expert,11,24
explain,21,10
explained,14,2
explaining,2,2
explode,1,2
exploded,2,2
exploit,16,2
exploitation,9,3
exploiting,5,1
export,1,4
expose,4,3
exposed,3,11
express,18,8
expressed,24,3
expressing,4,2
expression,43,16
expunging,1,1
extend,10,20
extended,8,13
extending,3,8
extends,1,3
extension,8,1
extensive,6,2
extent,32,12
extinguished,1,1
extract,6,1
extracted,1,1
extraneous,1,1
extraordinarily,7,2
extraordinary,11,19
extreme,26,54
extremely,7,8
extremist,4,2
eye,86,26
f,8,2
face,84,68
faced,18,15
facilitate,6,3
facilitating,2,1
facility,3,26
facing,5,27
fact,329,178
factor,46,1
factory,17,10
fade,4,2
fail,24,10
failed,50,21
failing,10,2
failure,48,7
fair,2,103
fairly,2,6
faith,74,34
faithful,12,3
fall,39,30
fallen,9,18
falling,10,12
false,32,5
faltering,1,1
familiar,9,2
family,17,422
famine,4,2
famous,4,1
fan,1,3
fancy,1,1
far,130,72
fare,2,2
farm,1,5
farmer,6,5
fascinated,1,1
fascism,1,1
fashion,16,1
fast,3,28
faster,1,33
fatal,25,1
fate,82,3
fateful,5,1
father,38,34
fatigued,1,1
fault,13,1
fear,46,18
feared,15,1
fearful,5,1
feasible,1,1
feature,41,1
february,6,6
fed,2,20
federal,28,169
federation,5,1
feed,2,4
feeding,3,1
feel,73,40
feeling,124,16
fell,25,5
fellow,22,35
felt,82,12
female,5,1
fence,1,5
festival,1,1
fever,2,1
fewer,2,24
fiction,2,1
fidelity,1,1
field,56,18
fifth,1,8
fifty,15,3
fight,163,83
fighting,119,38
figurative,1,1
figure,5,16
file,5,1
filing,1,2
fill,14,3
filled,23,3
film,1,1
final,79,20
finally,163,57
finance,21,9
financial,29,27
find,122,73
finding,7,12
fine,15,12
finger,6,1
finish,8,26
finished,2,14
fire,24,71
firing,1,3
firm,19,11
firmly,25,5
first,416,297
firstclass,1,2
firsthand,1,3
fit,14,5
five,24,72
fix,6,12
fixed,23,3
flag,37,11
flagrant,3,2
flame,4,3
flank,3,1
flash,3,4
fled,1,1
fleeing,1,1
fleet,7,8
flew,1,8
flexibility,3,2
flight,3,21
flood,4,12
floor,2,16
flourishing,1,1
flow,2,8
flower,2,1
flowing,2,1
flying,2,6
focus,1,33
foe,6,1
foiled,1,1
folk,5,237
follow,38,23
followed,52,7
follower,53,1
following,75,11
follows,22,1
food,16,41
fooled,1,2
foolish,11,1
foot,11,18
footstep,2,2
forbid,5,1
force,222,99
forced,67,9
forceful,1,1
forcing,4,1
forecast,3,1
forefront,1,3
foreign,136,25
foremost,11,4
forest,2,19
forever,4,11
forge,4,1
forged,1,1
forget,36,20
forgets,2,1
forgiven,1,1
forgot,3,6
forgotten,20,2
form,211,7
formally,1,3
formed,50,2
former,57,58
forming,15,1
formulated,4,1
forth,19,8
fortified,2,1
fortunate,12,5
fortune,12,10
forum,4,16
forward,52,79
foster,5,3
fostering,1,1
fought,33,14
found,121,34
foundation,87,14
founded,38,3
founding,9,8
four,36,99
fourth,8,9
fox,4,9
fraction,6,1
framework,17,19
france,86,12
frank,4,4
frankly,3,17
fraternal,2,2
fraud,2,4
fraught,5,1
free,54,90
freed,2,1
freedom,57,69
freely,9,2
french,63,3
frequently,30,3
fresh,24,3
friend,12,129
friendly,7,3
friendship,9,3
frightened,4,2
front,100,28
frontier,49,1
frontline,1,1
fruit,11,1
frustrated,3,6
fuel,1,14
fulfilled,23,2
fulfilling,8,1
full,42,61
fulltime,1,3
fully,27,76
fume,1,1
fun,1,2
function,29,6
functioned,2,2
functioning,1,1
fund,12,17
fundamental,77,23
fundamentally,29,20
funeral,3,3
funny,1,2
fury,4,1
future,185,130
g,1,30
gain,37,21
gained,46,2
gaining,7,3
gallery,2,1
gallows,1,1
game,11,22
gap,1,7
garden,2,1
gas,5,73
gate,2,6
gather,6,4
gathered,8,3
gathering,7,4
gauge,1,1
gave,56,38
general,207,47
generally,55,1
generation,53,57
generous,3,1
gentleman,30,8
genuine,16,7
genuinely,9,2
geography,2,1
george,3,12
german,861,1
germany,311,19
get,44,940
getting,14,146
giant,4,15
gift,29,7
gigantic,16,16
girl,14,13
give,116,142
given,89,40
giving,22,21
glad,1,6
glass,1,2
globe,12,5
glory,14,3
glove,1,1
go,77,341
goal,44,51
god,31,186
going,12,1195
gold,7,5
gone,17,51
good,118,265
goodness,1,3
goodnight,1,1
goodwill,7,2
gospel,2,1
got,20,307
govern,2,1
governing,10,2
government,152,118
grab,1,5
grace,3,13
grade,8,15
gradually,93,1
graf,3,2
grand,4,18
grandchild,1,12
granite,5,1
grant,8,22
granted,14,15
grateful,8,15
gratitude,4,4
grave,29,1
gravest,1,2
great,366,125
greater,69,20
greatest,54,26
greatly,4,2
greatness,40,2
greed,4,1
green,1,11
grew,22,29
grief,1,5
grim,1,1
grit,1,1
gross,4,1
ground,70,65
groundwork,5,2
group,101,42
grow,17,40
growing,16,35
grown,17,5
grows,7,3
growth,18,41
guarantee,36,18
guaranteed,15,2
guard,23,13
guest,4,8
guidance,3,4
guide,5,3
guided,4,2
guiding,13,4
gulf,7,10
gun,6,33
gust,1,2
hail,2,2
half,28,87
halfway,3,2
hall,69,9
hallowed,1,1
halt,2,2
hand,230,33
handed,4,2
handful,6,1
handle,2,2
handling,3,4
hanging,1,6
happen,36,73
happened,42,79
happening,14,44
happens,25,18
happier,1,2
happiness,8,3
happy,16,9
hard,38,98
harden,2,1
harder,3,13
hardest,3,8
hardly,20,2
hardship,7,4
hardworking,2,14
harm,8,21
harness,1,4
hate,12,24
hatred,35,3
havoc,7,1
hazardous,1,1
head,40,29
headed,2,9
heading,2,13
headquarters,4,3
heal,1,9
healed,1,1
healing,1,1
health,18,119
healthier,3,7
healthiest,2,1
healthy,29,3
heap,1,1
hear,8,59
heard,20,66
hearing,5,29
hears,5,1
heart,83,43
heartache,1,2
heartfelt,1,1
heat,3,11
heaven,22,1
