wort,hitler,trump,biden,bush,obama
shop,5,4,1,2,4
shore,1,7,6,2,31
short,42,107,16,11,14
shortly,2,34,12,2,6
shot,4,157,149,4,24
shoulder,19,31,10,3,12
shouting,5,5,1,1,1
show,81,252,66,55,41
showed,35,32,11,9,7
showing,2,22,13,10,6
shown,30,19,8,14,13
shut,5,86,13,5,13
sick,1,144,13,5,44
side,104,179,35,41,50
sight,19,10,5,4,15
sign,39,111,52,19,39
signal,8,19,2,4,1
signed,3,91,31,10,15
significant,9,4,96,7,11
signing,1,19,20,4,9
silence,22,72,11,3,1
silent,8,28,3,1,3
similar,49,13,9,11,5
simple,31,146,43,5,44
simply,46,30,25,4,45
sin,18,2,1,1,1
since,135,100,123,43,94
sing,3,2,1,1,2
single,40,250,123,27,71
sister,2,7,25,2,17
sit,4,60,25,4,22
sitting,6,127,33,4,12
situation,102,69,35,21,24
six,21,144,49,8,41
size,19,33,13,8,15
skill,9,3,13,24,39
slaughter,1,4,1,1,6
slave,16,1,2,2,8
slavery,8,1,1,5,8
sleep,7,11,5,2,6
sleeping,1,7,1,1,1
slow,20,14,8,4,11
slowly,41,6,1,4,7
small,121,106,60,39,109
smaller,21,17,3,1,6
smith,1,28,1,2,2
socalled,101,23,8,2,1
social,191,120,26,57,38
socialism,14,17,1,1,1
society,27,14,14,71,56
soft,1,14,2,1,1
soil,28,7,1,6,3
sold,6,54,6,4,5
soldier,93,307,14,19,26
solemn,9,3,2,8,2
solid,18,16,4,3,4
solution,30,2,18,11,16
solve,10,47,14,6,43
solved,9,23,2,4,3
solving,3,10,3,1,4
somebody,7,389,15,6,45
somehow,5,24,7,5,22
someone,6,10,59,2,27
something,90,525,111,23,119
sometimes,30,74,23,18,60
son,18,121,61,10,37
song,8,14,1,1,2
soon,68,197,23,12,26
sorrow,2,1,1,9,2
sought,5,1,8,3,7
soul,31,21,30,8,4
sound,45,103,15,12,11
source,41,14,11,30,40
south,35,176,36,14,44
southern,6,57,6,4,4
sovereign,27,10,5,2,11
sovereignty,12,26,5,2,5
soviet,6,11,1,8,11
space,16,101,16,4,69
speak,51,98,53,17,69
speaker,27,34,11,18,32
speaking,47,47,16,4,5
special,41,141,23,14,28
specific,4,5,13,5,14
specifically,2,7,8,1,2
speech,44,267,15,21,21
speed,7,21,45,2,10
spend,3,66,11,18,43
spending,1,56,19,32,57
spent,11,111,40,11,37
spirit,158,64,6,33,49
spoke,21,70,32,4,22
spoken,23,14,24,5,7
sport,7,58,3,4,2
spot,7,8,4,1,5
spread,30,7,33,19,24
spreading,12,3,2,6,2
spring,24,5,5,2,9
square,9,11,6,2,7
squarely,1,1,1,1,6
st,2,13,75,12,41
stability,12,4,14,13,16
stadium,1,5,3,1,3
staff,5,18,52,10,11
stage,38,93,12,10,12
stair,2,37,4,1,3
stake,7,12,20,15,32
stand,71,300,109,55,123
standard,23,38,24,38,40
standing,12,166,49,15,25
star,5,40,5,4,5
start,24,205,70,26,102
started,14,235,52,12,25
starting,2,92,31,9,32
state,884,1645,632,257,405
statement,29,104,7,2,7
station,5,14,31,4,13
status,7,15,7,13,20
stay,3,107,64,18,40
steadfast,2,1,3,4,2
steady,18,2,6,8,6
steel,9,88,15,2,6
step,51,42,98,47,96
stick,6,34,5,1,5
still,165,177,172,55,195
stimulus,7,2,2,2,1
stock,43,96,10,7,13
stolen,2,38,3,1,2
stood,25,79,27,9,20
stop,18,474,84,29,70
stopped,3,191,21,10,16
storm,55,10,51,15,14
story,8,292,47,26,80
straight,3,56,18,2,17
strait,2,1,4,2,2
stranger,5,1,2,5,12
strategy,2,6,14,43,38
street,28,124,46,21,80
strength,125,114,24,35,60
strengthen,11,18,17,28,46
strengthening,10,1,11,9,7
strengthens,1,1,2,2,6
stretch,3,1,2,1,10
strict,3,8,2,1,1
strike,30,8,14,13,22
strong,45,355,49,57,76
stronger,38,51,51,30,48
strongest,15,67,8,1,15
strongly,10,52,8,8,8
struck,9,9,8,3,7
structure,47,4,3,6,2
struggle,257,10,19,34,34
struggling,5,4,10,6,18
stuck,4,18,5,2,6
student,15,48,53,20,111
studied,26,12,1,2,3
study,68,18,32,4,19
stuff,5,258,9,2,7
subject,86,30,4,8,12
substantial,1,8,4,1,4
substitute,9,2,2,3,4
succeed,36,9,11,23,30
succeeded,42,2,3,4,4
success,141,86,16,33,54
successful,38,75,8,18,8
successfully,10,7,4,1,5
sudden,14,114,9,8,6
suffer,15,11,5,7,9
suffered,15,20,4,8,8
suffering,31,20,11,27,14
suggested,5,1,4,2,10
sum,8,3,2,1,5
summer,14,12,15,3,17
summon,2,2,5,1,8
sun,5,9,6,2,3
sunday,2,8,6,4,4
supply,14,40,78,25,9
support,70,227,154,94,149
supported,15,22,18,7,22
supporter,12,46,8,7,4
supporting,3,16,18,9,15
supposed,5,171,8,5,10
suppress,5,5,7,1,2
suppression,6,28,8,1,2
supreme,32,133,30,2,14
sure,9,169,217,54,161
surely,22,2,1,2,25
surplus,3,2,1,3,7
surprise,3,23,10,4,4
surprised,12,28,7,4,2
surrender,7,51,1,4,2
surrounded,5,10,2,1,3
surrounding,3,5,3,6,3
survive,4,14,1,3,3
survived,2,3,2,2,5
suspect,3,15,7,3,3
sustain,4,10,2,6,13
sustained,3,3,6,7,5
sworn,1,7,16,7,6
system,116,145,84,96,176
systematic,16,3,1,1,1
table,13,26,45,6,20
tactic,36,3,1,6,9
take,273,1429,273,110,259
taken,137,214,50,39,51
taking,53,251,76,35,55
talent,39,19,4,6,13
talented,2,21,2,4,3
talk,37,576,132,12,80
talked,10,101,39,5,24
talking,12,316,87,6,41
tariff,1,189,1,3,1
task,125,24,7,24,38
taught,28,10,10,1,10
tax,1,511,276,138,219
taxpayer,1,17,8,19,41
teach,23,51,10,14,13
teacher,18,31,33,15,51
teaching,69,10,4,5,12
tear,11,39,5,3,16
technology,3,22,34,44,82
tell,13,785,115,22,88
telling,3,93,13,2,10
temporarily,5,1,5,1,1
temporary,7,2,6,36,7
ten,36,80,25,10,27
tend,9,11,1,1,4
tendency,33,4,2,1,1
term,29,170,86,20,43
terrible,35,294,11,19,15
territorial,26,2,2,1,1
territory,98,16,14,12,7
terror,10,42,6,124,14
terrorism,15,8,17,29,15
terrorist,4,130,26,245,60
test,26,71,57,24,25
tested,1,18,6,8,12
testing,1,7,35,13,2
th,35,183,94,43,24
thank,6,1839,489,138,166
thanks,14,73,49,34,30
the,4,53,13,1,10
thing,160,2116,437,50,266
think,104,2608,464,30,284
thinking,40,62,13,7,15
third,32,127,43,26,34
though,156,151,40,7,35
thought,100,414,82,20,33
thousand,164,525,96,42,69
threat,14,139,67,87,68
threaten,5,8,6,12,21
threatened,15,12,4,4,19
threatening,11,17,9,4,3
three,56,641,151,45,63
thrive,1,5,5,1,12
thriving,1,8,6,1,9
throughout,40,45,36,25,31
throw,10,65,3,3,2
thursday,2,13,1,2,1
thus,336,1,12,4,2
tie,12,10,2,4,17
time,659,1705,526,221,510
tire,3,7,1,2,2
tired,4,22,17,3,13
title,7,24,4,1,2
today,228,438,409,124,250
together,73,387,206,95,223
told,17,290,75,18,60
tolerate,7,1,1,1,11
toll,1,1,8,1,1
tomorrow,8,131,24,7,35
tone,13,5,1,6,2
took,91,607,65,17,76
tool,3,9,50,16,14
top,3,191,49,7,47
total,14,107,31,6,5
touch,4,22,1,6,8
tough,5,336,19,22,46
towards,162,1,1,3,29
tower,1,10,7,2,2
town,30,32,40,1,31
track,1,10,23,13,13
trade,38,234,18,38,42
tradition,24,28,6,20,25
traffic,2,12,1,1,4
tragedy,6,14,14,11,29
tragic,16,5,2,1,5
trail,1,11,1,1,1
train,26,20,32,17,29
trained,35,6,9,14,8
training,97,7,12,34,35
transfer,1,1,5,2,8
transform,16,3,9,4,5
transformation,12,2,1,2,6
transformed,21,4,1,4,2
travel,1,62,34,10,24
treasury,2,20,5,1,1
treat,2,49,13,9,10
treated,11,86,17,3,8
treating,1,4,3,2,5
treatment,6,18,26,31,16
treaty,35,2,4,6,14
tremendous,19,290,2,4,2
trend,9,14,4,2,18
trial,5,107,8,5,10
tried,37,72,12,8,10
triumph,45,4,2,7,2
troop,32,64,83,81,101
true,103,270,40,25,111
truly,3,76,35,3,20
trust,9,37,24,41,28
trusted,1,6,7,2,1
truth,102,108,74,8,58
try,52,141,46,22,52
trying,15,275,58,22,49
tuesday,1,66,6,1,2
turmoil,5,4,1,1,9
turn,82,177,60,22,54
turned,43,165,18,9,18
turning,9,15,8,9,8
twice,2,88,9,4,10
two,195,909,263,77,190
type,32,19,17,3,3
typically,1,5,2,1,2
tyranny,9,5,3,23,16
tyrant,1,26,1,10,4
u,278,1431,523,277,740
ultimate,13,20,6,6,6
ultimately,8,39,9,4,38
unable,20,12,7,2,8
unchecked,3,11,1,1,1
uncomfortable,1,1,1,1,5
underlying,10,2,1,2,4
undermine,9,7,6,12,2
understand,93,225,74,36,83
understandable,2,2,7,2,3
understanding,49,10,13,4,21
understands,4,17,11,1,2
understood,50,42,16,3,16
unemployment,4,22,51,5,30
unfair,2,57,4,6,7
unfortunately,50,58,7,7,8
uniform,26,4,8,21,22
union,35,100,108,37,62
unique,10,5,9,10,14
unit,15,5,17,9,9
unite,6,2,13,7,5
united,41,528,379,195,264
unity,21,17,13,9,11
universal,24,19,25,4,18
university,9,25,28,4,40
unless,62,54,14,11,15
unlike,1,43,10,5,12
unlimited,6,20,3,2,1
untold,3,2,2,1,2
unwavering,1,3,1,2,2
uphold,7,33,11,7,9
upon,202,42,12,17,53
urban,3,2,11,3,4
urge,16,1,3,16,14
urged,8,3,1,4,2
urgent,6,11,15,14,12
us,9,48,10,6,7
use,98,313,72,51,91
used,81,374,130,39,41
using,9,69,22,17,21
usually,16,33,7,3,2
utility,7,1,10,1,1
valley,1,12,5,3,5
valuable,23,4,4,1,1
value,86,85,37,59,93
various,103,27,2,1,1
vast,25,18,27,9,10
vehicle,3,45,54,4,7
veteran,2,88,98,6,42
vice,12,51,79,15,31
vicious,1,139,2,2,7
victim,43,19,3,13,12
victory,79,172,7,41,18
view,153,18,81,16,23
viewed,1,2,3,1,1
vigorously,2,2,2,1,1
village,11,4,5,3,2
violation,4,20,6,6,4
violence,12,36,53,54,70
violent,13,80,10,12,24
virtue,35,1,1,1,4
vision,8,13,19,17,23
visit,6,6,18,6,12
visited,2,3,9,3,8
vital,42,8,23,29,8
voice,18,89,25,12,52
volunteer,22,7,3,11,10
vote,20,1435,158,29,99
voted,9,173,37,11,9
voter,2,332,25,3,11
voting,6,206,62,2,17
wage,26,30,69,6,78
waging,11,14,1,1,3
wait,9,126,29,7,22
waited,5,12,1,2,3
waiting,8,65,31,3,17
walk,7,155,32,10,32
walking,3,54,20,2,7
wall,13,354,47,9,50
want,49,3372,450,123,378
wanted,15,385,38,7,18
wanting,5,8,1,1,1
war,290,563,150,166,267
warfare,10,1,1,2,4
warned,2,2,1,2,2
warning,14,6,9,7,1
waste,5,22,9,3,18
watch,8,189,19,14,15
watched,4,86,8,6,7
watching,4,119,22,4,22
water,8,97,75,18,31
wave,9,61,8,3,12
way,365,1527,411,149,317
weak,45,69,1,9,4
weakened,3,7,1,1,9
weaker,15,6,2,2,4
weakness,38,29,3,3,2
wealth,9,24,11,9,23
weapon,87,107,24,123,72
wear,5,18,10,6,4
week,47,444,175,23,88
welcome,8,16,24,31,18
welcomed,12,2,2,4,9
welfare,21,15,2,6,6
well,107,1308,545,105,223
went,48,609,98,11,30
west,5,32,28,23,32
western,20,4,9,5,5
whatever,28,157,29,12,32
whenever,21,15,8,4,6
wherever,13,32,12,9,9
whether,85,110,130,19,84
whip,1,3,1,1,3
white,26,246,56,19,46
whole,244,292,109,22,49
whose,151,115,16,17,36
wide,4,8,4,1,1
widely,3,3,5,1,2
wider,7,1,2,3,2
widespread,2,4,6,3,1
wife,11,102,56,10,14
willing,25,47,23,22,59
win,36,820,56,20,33
wind,4,69,33,4,25
window,1,37,10,1,6
winning,18,148,6,6,8
winter,12,10,27,2,6
wisdom,26,6,2,7,11
wise,15,18,2,6,6
wish,63,57,17,22,3
withdraw,3,5,6,1,2
within,143,125,47,30,73
without,183,143,86,59,139
witnessed,8,14,3,7,4
woman,25,501,123,128,205
wonder,2,115,15,1,19
wonderful,10,167,9,3,11
wood,2,7,3,2,1
word,116,368,61,46,84
work,260,379,335,236,483
worked,10,186,53,32,67
worker,79,190,183,109,168
working,42,215,262,83,142
world,354,1144,578,345,461
worried,1,23,30,2,4
worry,5,59,22,12,9
worrying,1,3,5,1,1
worse,30,190,23,7,21
worst,31,316,18,8,33
worth,42,77,12,13,23
would,960,2184,234,183,335
wound,7,6,18,3,6
wounded,3,24,23,7,12
write,9,46,11,5,16
writer,19,16,1,1,3
writing,11,16,3,2,2
written,19,22,15,6,12
wrong,39,215,40,18,29
wrote,3,24,31,8,20
year,302,2117,707,287,709
yes,1,178,71,18,65
yesterday,3,67,42,5,16
yet,122,182,48,120,73
yield,4,18,5,6,1
young,131,177,65,36,165
younger,11,5,1,8,5
youngest,1,5,3,3,3
youth,53,28,4,4,5
zone,2,23,4,6,1
